region,2021-08-21,2021-09-21,2021-10-21,2021-11-21,2021-12-21,2022-01-22,2022-02-22,2022-03-22,2022-04-22,2022-05-22,2022-06-22,2022-07-22,2022-08-22
경기 용인시,684734,694315,702660,708007,710811,710922,709651,707683,705718,703373,701110,698522,693396
경기 용인시 처인구,331944,335857,340635,343897,345599,345584,345488,345415,345121,344893,344629,343750,342355
경기 용인시 기흥구,655543,664739,672415,677481,678748,678944,677991,676484,675347,673065,671024,668668,662748
경기 용인시 수지구,898000,910921,921805,928524,933475,933564,931357,927931,924250,920740,917211,913498,907246
경기 수원시,610067,619722,629086,634274,635597,635034,634224,632646,631045,628718,626450,623391,617977
경기 수원시 장안구,532208,541745,548165,552505,554222,553953,553571,553075,551519,550217,549189,548024,544000
경기 수원시 권선구,490133,498888,506361,511040,512791,512189,510988,509884,509394,507273,504731,502161,498153
경기 수원시 팔달구,539863,549043,559604,564058,565506,564754,564258,562063,561283,560852,560534,559390,555878
경기 수원시 영통구,797160,807867,820323,826877,827507,826857,825923,823473,820537,816437,812617,806927,798480
경기 서해안권,503810,514979,524013,528582,529790,529177,527753,525519,523886,522045,519876,517322,512119
경기 부천시,526191,537419,546970,554570,557625,557393,556099,555445,554218,554215,553240,552345,549271
경기 부천시 (구)원미구,470105,478521,487299,493050,495068,495435,495579,494915,494430,494067,493638,492376,489212
경기 부천시 (구)소사구,423506,432136,441904,448328,450576,451480,452310,452381,452139,452320,452122,451789,450068
경기 부천시 (구)오정구,509012,517248,525200,530389,532215,532134,531705,530427,529738,528922,528300,526262,521894
경기 안산시,440553,450293,457346,460858,461240,459100,456575,450491,447464,443227,438603,435950,430191
경기 안산시 상록구,811107,822037,830620,834723,835058,834754,834498,834134,833142,831774,828522,823279,814142
경기 안산시 단원구,608404,625427,636403,638763,637683,635970,632226,627631,623993,619898,615516,610991,602893
경기 시흥시,388739,400261,410888,416470,419027,419515,418878,416296,413112,411789,410381,406759,401600
경기 광명시,299249,306813,314332,318096,320143,320234,319988,320241,321405,320763,321094,320441,317725
경기 화성시,654925,662341,669580,674177,675591,675287,674395,673176,672429,671618,670344,667625,661819
경기 오산시,540577,549431,558003,562947,564708,564871,564227,563615,562964,561969,561205,560158,554962
경기 평택시,695096,703707,713133,718218,719473,719282,718755,718372,717181,716064,714787,713213,710393
경기 동부1권,996235,1001429,1005535,1009111,1009350,1007049,1004522,1001102,1000080,999212,996850,992341,983876
경기 남양주시,481015,486619,492381,496909,499041,499878,499954,499107,498883,498843,497675,492178,485208
경기 구리시,217247,220579,224320,228872,232133,233290,234661,236448,238141,239656,241484,243045,243483
경기 하남시,237883,242275,246883,253114,257925,259936,262120,264986,267429,269503,272159,274446,274972
경기 광주시,161700,163547,166253,168445,169356,169073,169115,169121,169580,170185,170601,171079,171335
경기 동부2권,533394,541866,549600,553578,554811,555058,554695,554329,554318,554636,554095,552642,549810
경기 이천시,514361,521571,531738,535084,536428,536473,536295,536147,536216,535590,533834,531967,528570
경기 여주시,589567,599725,607689,612403,613800,614057,613401,612824,612839,613695,613402,612433,610228
경기 경의권,580929,593912,603099,607712,609312,609523,608799,607344,606240,606120,604445,602399,599010
경기 김포시,666024,675562,684321,689511,691289,691309,690648,689919,691038,692105,692959,693177,691770
경기 고양시,542000,549511,555539,560007,560896,561382,560804,561307,561729,563500,563871,563200,561704
경기 고양시 덕양구,395079,400230,404394,407018,407651,408109,408366,408343,408161,408065,408264,405917,401964
